date,TEMP,DEWP,SLP,WDSP,MAX,MIN,PRCP,co_24h,no2_24h,o3_24h,pm10_24h,pm25_24h,so2_24h,AQI,TEMP_DIFF,PRCP_BINARY,AQI_lag1,pm25_24h_lag1,pm10_24h_lag1,o3_24h_lag1,co_24h_lag1,no2_24h_lag1,so2_24h_lag1,TEMP_lag1,TEMP_lag2,DEWP_lag1,DEWP_lag2,SLP_lag1,SLP_lag2,WDSP_lag1,WDSP_lag2,MAX_lag1,MAX_lag2,MIN_lag1,MIN_lag2,PRCP_lag1,PRCP_lag2,TEMP_DIFF_lag1,TEMP_DIFF_lag2,PRCP_BINARY_lag1,PRCP_BINARY_lag2
2024-01-03,36.5,15.2,1021.0,3.2,52.0,25.0,0.0,0.5041666666666667,0.0281083333333333,0.0126249999999999,20.956521739130437,7.134782608695652,0.0,40,27.0,0,27.0,4.854166666666667,12.041666666666666,0.0255416666666666,0.2714285714285714,0.0120958333333333,0.0,37.6,35.4,18.4,19.2,1021.7,1023.5,6.4,3.2,52.0,50.0,26.1,25.0,0.0,0.0,25.9,25.0,0.0,0.0
2024-01-04,38.6,25.5,1010.0,8.2,48.9,25.0,0.0,0.1571428571428571,0.0084571428571428,0.0289523809523809,7.833333333333333,3.1333333333333333,0.0,27,23.9,0,40.0,7.134782608695652,20.956521739130437,0.0126249999999999,0.5041666666666667,0.0281083333333333,0.0,36.5,37.6,15.2,18.4,1021.0,1021.7,3.2,6.4,52.0,52.0,25.0,26.1,0.0,0.0,27.0,25.9,0.0,0.0
2024-01-05,32.1,27.6,1013.1,5.5,44.1,26.1,0.23,0.1375,0.0077749999999999,0.0329166666666666,8.125,4.154166666666667,0.0,30,18.0,1,27.0,3.1333333333333333,7.833333333333333,0.0289523809523809,0.1571428571428571,0.0084571428571428,0.0,38.6,36.5,25.5,15.2,1010.0,1021.0,8.2,3.2,48.9,52.0,25.0,25.0,0.0,0.0,23.9,27.0,0.0,0.0
2024-01-06,32.5,20.8,1015.7,7.0,41.0,26.1,0.0,0.2666666666666666,0.0113791666666666,0.0272916666666666,10.375,5.758333333333333,0.0,32,14.899999999999999,0,30.0,4.154166666666667,8.125,0.0329166666666666,0.1375,0.0077749999999999,0.0,32.1,38.6,27.6,25.5,1013.1,1010.0,5.5,8.2,44.1,48.9,26.1,25.0,0.23,0.0,18.0,23.9,1.0,0.0
2024-01-07,31.1,19.0,1010.8,4.6,41.0,24.1,0.0,0.2409090909090909,0.0087368421052631,0.0280454545454545,8.791666666666666,3.4916666666666667,0.0,26,16.9,0,32.0,5.758333333333333,10.375,0.0272916666666666,0.2666666666666666,0.0113791666666666,0.0,32.5,32.1,20.8,27.6,1015.7,1013.1,7.0,5.5,41.0,44.1,26.1,26.1,0.0,0.23,14.899999999999999,18.0,0.0,1.0
2024-01-08,30.6,18.5,1003.7,11.1,41.0,25.0,0.0,0.2125,0.0037416666666666,0.0349166666666666,14.333333333333334,2.3541666666666665,0.0,32,16.0,0,26.0,3.4916666666666667,8.791666666666666,0.0280454545454545,0.2409090909090909,0.0087368421052631,0.0,31.1,32.5,19.0,20.8,1010.8,1015.7,4.6,7.0,41.0,41.0,24.1,26.1,0.0,0.0,16.9,14.899999999999999,0.0,0.0
2024-01-09,26.8,9.0,1019.5,8.7,37.0,19.0,0.0,0.3125,0.010625,0.0295833333333333,11.541666666666666,4.829166666666667,0.0,27,18.0,0,32.0,2.3541666666666665,14.333333333333334,0.0349166666666666,0.2125,0.0037416666666666,0.0,30.6,31.1,18.5,19.0,1003.7,1010.8,11.1,4.6,41.0,41.0,25.0,24.1,0.0,0.0,16.0,16.9,0.0,0.0
2024-01-10,29.3,11.6,1012.4,5.2,46.9,19.0,0.0,0.35,0.0186666666666666,0.0224166666666666,15.25,5.6875,0.0,32,27.9,0,27.0,4.829166666666667,11.541666666666666,0.0295833333333333,0.3125,0.010625,0.0,26.8,30.6,9.0,18.5,1019.5,1003.7,8.7,11.1,37.0,41.0,19.0,25.0,0.0,0.0,18.0,16.0,0.0,0.0
2024-01-11,34.6,17.4,1003.5,11.0,46.9,19.9,0.0,0.2041666666666667,0.0054916666666666,0.0375833333333333,15.541666666666666,2.408333333333333,0.0,35,27.0,0,32.0,5.6875,15.25,0.0224166666666666,0.35,0.0186666666666666,0.0,29.3,26.8,11.6,9.0,1012.4,1019.5,5.2,8.7,46.9,37.0,19.0,19.0,0.0,0.0,27.9,18.0,0.0,0.0
2024-01-12,25.7,6.4,1014.6,7.4,43.0,14.0,0.0,0.2958333333333333,0.0140458333333333,0.0279166666666666,10.0,3.8958333333333335,0.0,26,29.0,0,35.0,2.408333333333333,15.541666666666666,0.0375833333333333,0.2041666666666667,0.0054916666666666,0.0,34.6,29.3,17.4,11.6,1003.5,1012.4,11.0,5.2,46.9,46.9,19.9,19.0,0.0,0.0,27.0,27.9,0.0,0.0
